"","date","holiday"
"1007","2022-07-26","True"
"1008","2022-07-27","True"
"1009","2022-07-28","True"
"1010","2022-07-29","True"
"1011","2022-07-30","True"
"1012","2022-07-31","True"
"1013","2022-08-01","True"
"1014","2022-08-02","True"
"1015","2022-08-03","True"
"1016","2022-08-04","True"
"1017","2022-08-05","True"
"1018","2022-08-06","True"
"1019","2022-08-07","True"
"1020","2022-08-08","True"
"1021","2022-08-09","True"
"1022","2022-08-10","False"
"1023","2022-08-11","False"
"1024","2022-08-12","False"
"1025","2022-08-13","False"
"1026","2022-08-14","False"
"1027","2022-08-15","False"
"1028","2022-08-16","False"
"1029","2022-08-17","False"
"1030","2022-08-18","False"
"1031","2022-08-19","False"
"1032","2022-08-20","False"
"1033","2022-08-21","False"
"1034","2022-08-22","False"
"1035","2022-08-23","False"
"1036","2022-08-24","False"
"1037","2022-08-25","False"
"1038","2022-08-26","False"
"1039","2022-08-27","False"
"1040","2022-08-28","False"
"1041","2022-08-29","False"
"1042","2022-08-30","False"
"1043","2022-08-31","False"
"1044","2022-09-01","False"
"1045","2022-09-02","False"
"1046","2022-09-03","False"
"1047","2022-09-04","False"
"1048","2022-09-05","False"
"1049","2022-09-06","False"
"1050","2022-09-07","False"
"1051","2022-09-08","False"
"1052","2022-09-09","False"
"1053","2022-09-10","False"
"1054","2022-09-11","False"
"1055","2022-09-12","False"
"1056","2022-09-13","False"
"1057","2022-09-14","False"
"1058","2022-09-15","False"
"1059","2022-09-16","False"
"1060","2022-09-17","False"
"1061","2022-09-18","False"
"1062","2022-09-19","False"
"1063","2022-09-20","False"
"1064","2022-09-21","False"
"1065","2022-09-22","False"
"1066","2022-09-23","False"
"1067","2022-09-24","False"
